Order Date,Sales
2014-01-06,1147.94
2014-01-09,31.200000000000003
2014-01-13,646.74
2014-01-15,149.95
2014-01-16,124.19999999999999
2014-01-20,699.93
2014-01-26,343.33
2014-02-01,468.90000000000003
2014-02-02,180.96
2014-02-06,306.56
2014-02-07,115.36
2014-02-11,234.45000000000002
2014-02-14,239.96999999999997
2014-02-20,62.31
2014-03-01,5.9399999999999995
2014-03-02,151.20000000000002
2014-03-03,9.99
2014-03-05,479.97
2014-03-11,620.9300000000001
2014-03-14,657.71
2014-03-16,471.92
2014-03-18,24739.748
2014-03-19,494.21600000000007
2014-03-21,3499.9300000000003
2014-03-23,604.752
2014-03-25,45.48
2014-03-26,95.084
2014-03-28,302.376
2014-03-30,251.94400000000002
2014-03-31,79.98400000000001
2014-04-02,1049.93
2014-04-03,222.29
2014-04-04,99.98
2014-04-05,28.99
2014-04-06,450.654
2014-04-07,830.9199999999998
2014-04-08,399.96
2014-04-11,1801.2960000000003
2014-04-12,1513.4560000000001
2014-04-13,71.928
2014-04-18,515.944
2014-04-25,302.376
2014-04-28,1839.94
2014-04-29,19.98
2014-04-30,47.79
2014-05-02,479.98400000000004
2014-05-08,1799.9699999999998
2014-05-09,235.76999999999998
2014-05-10,1475.6000000000001
2014-05-11,205.768
2014-05-13,149.97
2014-05-16,56.400000000000006
2014-05-18,779.796
2014-05-20,20.784000000000002
2014-05-21,617.97
2014-05-22,180.93
2014-05-23,55.188
2014-05-26,285.568
2014-05-27,1213.494
2014-05-28,85.00800000000001
2014-05-30,1183.976
2014-05-31,773.7
2014-06-01,881.93
2014-06-02,239.96999999999997
2014-06-09,1890.5520000000001
2014-06-17,65.97
2014-06-18,139.8
2014-06-20,620.384
2014-06-21,3743.529
2014-06-22,279.534
2014-06-23,86.376
2014-06-25,263.96000000000004
2014-06-27,223.96
2014-07-01,575.92
2014-07-02,73.98
2014-07-05,479.97
2014-07-06,559.9920000000001
2014-07-11,938.788
2014-07-12,279.77600000000007
2014-07-14,75.754
2014-07-15,2.9699999999999998
2014-07-19,359.98
2014-07-20,41.94
2014-07-21,35.98
2014-07-22,159.98
2014-07-23,2555.084
2014-07-26,1626.02
2014-07-27,238.0
2014-08-02,21.2
2014-08-04,655.38
2014-08-05,152.35000000000002
2014-08-06,262.89
2014-08-08,2591.882
2014-08-09,1488.7200000000003
2014-08-12,1237.874
2014-08-17,339.96
2014-08-23,143.64000000000001
2014-08-25,1103.044
2014-08-26,326.77
2014-08-27,793.43
2014-08-31,92.52
2014-09-01,357.0
2014-09-02,1275.63
2014-09-07,1158.2060000000001
2014-09-08,8680.728
2014-09-09,1500.21
2014-09-12,142.606
2014-09-13,714.94
2014-09-14,3104.92
2014-09-17,133.829
2014-09-19,8204.925
2014-09-20,2050.96
2014-09-21,2286.338
2014-09-23,83.98400000000001
2014-09-26,156.976
2014-09-29,686.32
2014-10-02,555.936
2014-10-03,142.488
2014-10-05,99.98
2014-10-06,9.09
2014-10-08,23.472
2014-10-09,15.991999999999999
2014-10-10,1577.8900000000003
2014-10-11,345.0
2014-10-13,48.74
2014-10-14,2176.96
2014-10-16,179.97
2014-10-17,119.97600000000001
2014-10-18,1394.95
2014-10-19,439.12800000000004
2014-10-20,319.968
2014-10-25,40.775999999999996
2014-10-26,383.96000000000004
2014-10-28,257.98
2014-10-29,2737.9320000000002
2014-10-31,1067.83
2014-11-01,3118.784
2014-11-02,1620.008
2014-11-03,873.9300000000001
2014-11-04,5742.232
2014-11-05,157.766
2014-11-08,333.576
2014-11-09,703.9680000000001
2014-11-10,612.526
2014-11-11,1627.698
2014-11-12,207.496
2014-11-14,832.93
2014-11-15,772.47
2014-11-16,353.928
2014-11-17,99.98
2014-11-18,549.5519999999999
2014-11-19,5561.186000000001
2014-11-20,833.94
2014-11-21,399.94
2014-11-23,35.534
2014-11-24,2664.136
2014-11-25,564.592
2014-11-26,718.296
2014-11-28,1138.78
2014-11-29,575.92
2014-11-30,102.24000000000001
2014-12-01,1027.856
2014-12-02,245.71
2014-12-03,479.96
2014-12-04,129.98
2014-12-05,793.39
2014-12-06,35.04
2014-12-08,156.60000000000002
2014-12-09,1079.9759999999999
